,appid,Game,st_release_date,st_english,st_developer,st_publisher,st_achievements,st_positive_ratings,st_negative_ratings,st_average_playtime,st_median_playtime,st_owners,st_price,st_spy_action,st_spy_adventure,st_spy_casual,st_spy_indie,st_spy_simulation,st_spy_singleplayer,st_spy_strategy
7425,422210,rise of keepers,2015-12-04,1,Samaritan Studios,Samaritan Studios,0,18,12,0,0,0-20000,9.99,0,0,0,22,0,0,22
7426,422250,shiplord,2015-12-02,1,Just1337 Studio,Just1337 Publisher,9,324,238,249,288,200000-500000,10.99,31,23,32,33,0,0,0
7427,422270,city play,2016-05-19,1,FrameLineNetwork,FrameLineNetwork,20,8,18,0,0,0-20000,2.79,0,0,0,20,20,0,20
7428,422300,element,2018-07-26,1,Flightless,Flightless,0,16,5,0,0,0-20000,10.99,23,0,0,22,0,0,22
7429,422420,godus wars,2016-02-03,1,22cans,22cans,0,91,440,0,0,100000-200000,10.99,0,0,26,24,49,0,51
7430,422500,emmerholt prologue,2017-02-14,1,Oneiric Entertainment LLC,Oneiric Entertainment LLC,0,71,23,0,0,0-20000,0.0,21,22,0,21,0,0,0
7431,422510,demons tilt,2019-01-21,1,WIZNWAR;FLARB LLC,FLARB LLC,29,74,5,0,0,0-20000,11.39,34,0,0,33,0,23,0
7432,422610,1775 rebellion,2016-09-29,1,HexWar Games,HexWar Games,10,29,23,449,449,0-20000,18.99,0,0,0,0,0,0,25
7433,422630,metaverse construction kit,2015-12-06,1,Metaware,Metaware,0,158,80,0,0,100000-200000,0.0,0,0,36,34,38,16,0
7434,422640,vr karts steamvr,2016-05-20,1,Viewpoint Games,Viewpoint Games,0,17,29,0,0,0-20000,10.99,0,0,22,22,0,0,0
7435,422650,megamagic wizards of the neon age,2016-04-20,1,BeautiFun Games,BeautiFun Games,41,65,17,0,0,20000-50000,7.19,24,24,0,24,0,0,23
7436,422760,ocean rift,2017-09-13,1,Llyr ap Cenydd,Picselica Ltd,0,63,11,0,0,0-20000,6.99,0,22,22,21,0,0,0
7437,422810,river city ransom underground,2017-02-27,1,Conatus Creative Inc.,Conatus Creative Inc.,48,1285,425,8,8,50000-100000,14.99,49,0,0,36,0,0,0
7438,422860,holodance,2016-04-05,1,narayana games UG,narayana games UG,9,161,22,0,0,0-20000,15.49,0,0,32,32,0,0,0
7439,422870,super duper flying genocide 2017,2016-12-29,1,CharlieH,CharlieH,1002,1000,441,157,168,200000-500000,0.79,33,31,0,38,28,0,0
7440,422900,particle fleet emergence,2016-09-29,1,Knuckle Cracker,Knuckle Cracker,20,470,40,0,0,20000-50000,11.39,0,0,0,34,28,0,36
7441,422910,creeper world anniversary edition,2016-11-16,1,Knuckle Cracker,Knuckle Cracker,39,133,8,0,0,0-20000,3.99,0,0,0,24,21,0,25
7442,422920,creeper world 2 anniversary edition,2016-11-16,1,Knuckle Cracker,Knuckle Cracker,33,67,7,0,0,0-20000,3.99,0,0,0,23,21,0,23
7443,422940,divergence online,2016-01-06,1,Stained Glass Llama,None,0,72,51,0,0,0-20000,14.99,21,0,0,22,0,0,0
7444,422970,devil daggers,2016-02-18,1,Sorath,Sorath,1,4462,222,216,399,200000-500000,3.99,100,0,8,105,0,65,0
7445,422980,super robot jump jump,2016-03-31,1,Beyond Technical Inc.,Beyond Technical,31,24,5,0,0,0-20000,3.99,23,23,0,22,0,0,0
7446,423120,community college hero trial by fire,2015-12-04,1,Hosted Games,Hosted Games,46,206,26,0,0,0-20000,2.89,0,0,0,24,0,0,0
7447,423180,ai space corps,2016-02-05,1,GameArt Studio GmbH,GameArt Studio GmbH,0,4,14,0,0,0-20000,3.99,34,0,21,33,21,12,22
7448,423220,tkara puzzles,2016-06-01,1,Mexond,Mexond,15,20,2,0,0,0-20000,3.99,0,0,36,33,0,13,0
7449,423230,furi,2016-07-05,1,The Game Bakers,The Game Bakers,33,4199,474,535,682,500000-1000000,14.99,207,0,0,115,0,151,0
7450,423270,zheros,2016-02-15,1,Rimlight Studios,Rimlight Studios,23,29,9,0,0,0-20000,6.99,23,0,0,24,0,11,0
7451,423320,pendragon rising,2015-12-04,1,Choice of Games,Choice of Games,29,71,15,0,0,0-20000,2.89,0,0,0,23,0,0,0
7452,423440,choice of kung fu,2015-12-11,1,Choice of Games,Choice of Games,25,35,2,0,0,0-20000,3.99,0,0,0,21,0,0,0
7453,423490,air missions hind,2017-06-14,1,3Division,3Division,11,286,75,0,0,0-20000,12.99,48,0,37,36,64,6,0
7454,423550,day d tower rush,2016-07-07,1,Creobit,8Floor,12,80,28,0,0,50000-100000,3.99,0,0,33,33,0,0,34
7455,423580,project highrise,2016-09-08,1,SomaSim,Kasedo Games,88,1724,400,224,351,200000-500000,14.99,0,0,22,46,112,60,103
7456,423590,the little acre,2016-12-13,1,Pewter Games Studios,Curve Digital,27,369,52,150,150,20000-50000,9.99,0,78,0,58,0,64,0
7457,423600,adelantado trilogy book one,2015-12-01,1,Whiterra,Qumaron,0,18,3,0,0,0-20000,3.99,0,22,22,0,20,0,23
7458,423610,wheres my mommy,2016-03-01,1,Exquisite Games,Exquisite Games,24,120,33,0,0,0-20000,4.79,24,21,24,25,21,0,0
7459,423620,hero defense,2016-05-31,1,Happy Tuesday,Headup;Whisper Games,33,351,97,0,0,20000-50000,24.99,29,0,0,34,0,0,30
7460,423650,summer fling,2016-06-16,1,Straywire,Dharker Studio,7,50,28,0,0,0-20000,7.19,0,0,34,39,0,0,0
7461,423700,apocalypse hotel the postapocalyptic hotel simulator,2016-01-26,1,Michael Flynn,FlynnFour Games,14,26,41,0,0,20000-50000,4.99,0,0,35,34,36,0,0
7462,423710,invasion brain craving,2016-06-22,1,New Reality Games,New Reality Games,15,115,151,237,239,500000-1000000,0.79,25,35,22,37,21,0,23
7463,423720,color chaos,2016-05-02,1,Daniel Riley,Daniel Riley,23,13,1,0,0,0-20000,0.79,23,0,24,23,0,0,0
7464,423730,hyper gods,2016-10-07,1,Ground Control Studios,Ground Control Studios,2,10,1,0,0,0-20000,5.19,21,0,0,21,0,0,0
7465,423740,save your mother,2015-12-03,1,Tuomo Laine,Tuomo's games,11,28,10,0,0,20000-50000,2.89,33,12,0,13,0,15,0
7466,423750,gardenarium,2016-02-25,1,Paloma Dawkins;Kyler Kelly;Catherine Debard,KO_OP mode,0,24,9,0,0,0-20000,3.99,0,0,23,27,0,0,0
7467,423760,hit tank pro,2015-12-02,1,Bacq Stellan,OtakuMaker.com,0,69,43,0,0,50000-100000,1.99,23,20,24,23,0,11,21
7468,423770,our love will grow,2015-12-04,1,John Wizard,John Wizard,0,101,43,0,0,20000-50000,3.99,0,30,0,25,41,0,0
7469,423780,zero gravity,2016-08-28,1,Neo Red Ent.;Outback Studios,Neo Red Ent.,0,6,2,0,0,0-20000,5.19,21,21,11,21,10,0,21
7470,423800,automata empire,2016-04-08,1,Nonadecimal Creative,Nonadecimal Creative,21,34,14,0,0,0-20000,6.19,0,0,0,35,37,0,39
7471,423810,marooners,2016-09-15,1,M2H,M2H,34,381,160,0,0,100000-200000,7.19,25,0,25,24,0,0,0
7472,423870,astervoid 2000,2016-12-01,1,Mad Capacity;LREVG,Mad Capacity;LREVG,9,31,8,0,0,0-20000,3.99,33,0,32,33,0,0,0
7473,423880,carpe diem,2015-11-30,1,Moonlit Works,Moonlit Works,1,6791,793,10,11,200000-500000,0.0,0,0,83,89,0,69,0
7474,423890,gods and idols,2016-12-12,1,Viking Tao,Viking Tao,0,419,183,1,1,100000-200000,0.0,0,0,0,0,0,0,42
7475,423900,dinocide,2016-01-21,1,AtomicTorch Studio,AtomicTorch Studio,0,98,90,0,0,50000-100000,6.99,66,57,23,65,0,28,0
7476,424000,project pulsation,2015-12-15,1,VGstudio,VGstudio,0,56,85,400,402,200000-500000,3.99,25,24,0,0,0,0,0
7477,424010,crudelis,2016-01-20,1,Whiskey Jack Games,Whiskey Jack Games,28,18,2,0,0,0-20000,4.79,0,21,22,21,0,0,0
7478,424030,war of rights,2018-12-03,1,Campfire Games,Campfire Games,0,1212,319,0,0,50000-100000,23.79,52,0,0,41,65,12,37
7479,424040,fragmental,2017-12-20,1,Ruffian Games,Ruffian Games,0,21,2,0,0,0-20000,10.99,41,0,0,31,0,0,0
7480,424060,the glow,2015-12-10,1,Brainwashing games,Brainwashing games,11,8,12,0,0,0-20000,2.79,0,0,0,12,0,0,21
7481,424100,celestrion,2015-12-07,1,"dSky9, Inc.","dSky9, Inc.",0,7,3,0,0,0-20000,0.79,0,0,0,0,22,0,0
7482,424170,the fall of gods,2015-12-18,1,GeexGames,GeexGames,0,39,9,0,0,20000-50000,2.09,22,25,0,22,0,0,20
7483,424200,little mouses encyclopedia,2019-02-25,1,Circus Atos,Circus Atos,0,15,0,0,0,0-20000,4.99,0,0,21,32,0,0,0
7484,424210,sodacity,2015-12-08,1,Tochas Studios,Tochas Studios,34,12,3,0,0,0-20000,6.99,33,0,0,44,0,0,0
7485,424250,balrum,2016-02-29,1,Balcony Team,Balcony Team,42,288,76,0,0,20000-50000,9.99,0,39,0,31,0,0,34
7486,424260,feelings adrift,2016-02-29,1,Dénis Múrias,Dénis Múrias,9,42,28,0,0,0-20000,4.99,0,0,0,23,0,0,0
7487,424280,iron snout,2016-01-27,1,SnoutUp,SnoutUp,37,13889,277,10647,76,1000000-2000000,0.0,177,0,65,130,0,92,0
7488,424310,blessed ones the magic wolves,2015-12-04,1,Wolf Ray Studios,Wolf Ray Studios,0,1,0,0,0,0-20000,5.59,0,0,0,21,0,0,0
7489,424320,anomaly 1729,2015-12-30,1,"Anvil Drop, LLC",Black Shell Media ,0,25,3,0,0,0-20000,6.99,0,21,21,21,0,0,0
7490,424370,wolcen lords of mayhem,2016-03-24,1,WOLCEN Studio,WOLCEN Studio,0,2787,1306,2766,4436,100000-200000,27.99,78,65,0,54,0,10,0
7491,424610,peasant knight,2019-03-22,1,Ratalaika Games S.L.;4AM Games,Ratalaika Games S.L.,19,1,0,0,0,0-20000,2.09,22,0,21,22,0,0,0
7492,424640,karaski what goes up,2016-03-02,1,Unbound Creations,Plug In Digital,46,41,6,161,161,0-20000,8.99,33,32,0,32,0,11,0
7493,424750,the box,2015-12-03,1,White Clover Worlds,White Clover Inc.,10,9,2,0,0,0-20000,2.09,0,0,20,22,0,0,0
7494,424760,bladestar,2016-01-15,1,"Fair Weather Studios, LLC","Fair Weather Studios, LLC",36,34,12,0,0,0-20000,3.99,45,0,0,23,0,0,0
7495,424780,imperia online,2016-04-15,1,Imperia Online JSC,Imperia Online JSC,30,89,101,0,0,50000-100000,0.0,18,0,0,0,50,0,57
7496,424830,bell ringer,2016-03-18,1,Night Node Software,Night Node Software,15,97,309,183,205,200000-500000,4.99,26,0,0,27,0,0,0
7497,424840,little nightmares,2017-04-27,1,Tarsier Studios,BANDAI NAMCO Entertainment,22,7568,980,90,90,500000-1000000,15.99,52,274,0,169,0,197,66
7498,424850,galactineers,2019-02-26,1,LInsoDeTeh,LInsoDeTeh,24,10,10,0,0,0-20000,8.99,0,22,0,23,22,0,25
7499,424870,threads of destiny,2015-12-04,1,Warfare Studios,Aldorlea Games,0,11,6,0,0,0-20000,3.99,0,22,22,22,0,0,22
7500,425010,scudbuster,2015-12-18,1,HyperKat Games,HyperKat Games,0,2,1,0,0,0-20000,3.99,22,0,0,0,0,0,0
7501,425040,comixplay 1 the endless incident,2016-02-24,1,ComixPlay,Mongoose Net Ltd.,21,16,0,0,0,0-20000,4.99,0,22,0,21,0,0,0
7502,425070,asteroids minesweeper,2016-07-08,1,Francois Braud (Volatile Dove),Francois Braud (Volatile Dove),10,40,7,0,0,0-20000,1.59,0,0,21,22,0,0,0
7503,425150,assassins vs pirates,2016-05-10,1,DEADBIT,DEADBIT,20,65,18,0,0,0-20000,5.59,53,0,52,50,0,0,0
7504,425160,recursion deluxe,2016-02-12,1,2D Heroes;Ursa Games,2D Heroes,20,66,6,0,0,0-20000,3.99,23,0,34,33,0,0,0
7505,425210,shadwen,2016-05-17,1,Frozenbyte,Frozenbyte,48,587,179,80,80,100000-200000,12.99,53,49,0,0,0,30,10
7506,425220,one piece burning blood,2016-09-01,1,"Spike Chunsoft Co., Ltd.",BANDAI NAMCO Entertainment,50,1504,496,453,595,100000-200000,39.99,147,0,0,0,0,56,0
7507,425230,sword n board,2016-01-29,1,Stuffed Castle Studios,Stuffed Castle Studios,0,15,12,25,25,0-20000,3.99,21,21,0,21,0,0,0
7508,425240,pressure overdrive,2017-07-25,1,Chasing Carrots,Chasing Carrots,24,84,24,0,0,20000-50000,9.99,57,0,0,55,0,45,0
7509,425260,soul harvest,2017-05-26,1,Nanoleptic Games,Nanoleptic Games,0,11,2,0,0,0-20000,10.29,21,0,0,23,0,0,22
7510,425300,super button soccer,2016-07-20,1,Smyowl Game Studio,Smyowl Game Studio,39,60,21,0,0,0-20000,4.99,0,0,0,23,0,22,11
7511,425340,space moth dx,2016-01-22,1,1CC Games,Black Shell Media,0,77,13,162,162,20000-50000,3.99,32,0,0,32,0,0,0
7512,425400,block rocking beats,2017-06-30,1,Sander Sneek;Jochem de Klerk,SNAKE Productions,0,3,0,0,0,0-20000,10.99,0,0,21,21,21,0,0
7513,425410,road to ballhalla,2016-08-05,1,Torched Hill,tinyBuild,21,281,36,5,5,50000-100000,10.99,26,20,0,26,0,0,0
7514,425450,goatpunks,2018-11-29,1,Alberto Santiago,Studio Canvas,63,17,7,0,0,0-20000,7.19,22,0,0,22,0,0,0
7515,425460,tokyo twilight ghost hunters daybreak special gigs,2017-03-17,1,Arc System Works;TOYBOX Inc.,PQube Limited,0,25,14,0,0,0-20000,6.99,0,23,0,0,0,0,19
7516,425580,the room two,2016-07-05,1,Fireproof Games,Fireproof Games,7,7382,176,181,279,200000-500000,3.99,0,76,0,68,0,46,0
7517,425600,the order of the thorne the kings challenge,2016-01-26,1,Infamous Quests,Infamous Quests,13,80,10,0,0,0-20000,6.99,0,37,0,33,0,13,0
7518,425650,halloween forever,2016-10-25,1,Imaginary Monsters,Imaginary Monsters,38,112,7,0,0,0-20000,3.99,37,0,0,35,0,16,0
7519,425670,seraph,2016-09-20,1,Dreadbit,Dreadbit,30,378,70,0,0,50000-100000,9.99,41,0,0,0,0,0,0
7520,425720,cloudlands vr minigolf,2016-04-05,1,Futuretown,Futuretown,28,230,43,0,0,20000-50000,14.99,0,0,22,0,0,0,0
7521,425760,ego protocol,2016-02-16,1,Static Dreams,IQ Publishing,52,4,2,0,0,0-20000,2.89,0,0,21,21,0,0,0
7522,425770,answer the question,2018-08-02,1,Penny McDonald,Say Again Studio,0,136,5,0,0,0-20000,0.79,0,0,25,25,0,0,0
7523,425820,dragonpath,2016-07-06,1,Ebonscale Games,Ebonscale Games,17,59,14,0,0,0-20000,5.59,25,0,0,23,0,0,0
7524,425860,vector assault,2015-12-10,1,Wizbyte Games,Strategy First,35,5,4,0,0,0-20000,3.99,22,0,23,23,0,0,0
7525,425870,gyrodisc super league,2016-03-04,1,Valiant Interactive,Valiant Interactive,0,8,5,0,0,0-20000,9.99,21,0,0,21,0,0,0
7526,425900,adventure lamp,2016-07-15,1,Ryan Davis,Ryan Davis,13,20,3,0,0,0-20000,6.99,0,0,0,22,0,0,0
7527,425990,space junk patrol,2016-12-01,1,Anthracite Games,Anthracite Games,0,3,0,0,0,0-20000,4.79,21,0,0,21,0,0,0
7528,426000,huniecam studio,2016-04-04,1,HuniePot,HuniePot,16,3214,645,183,237,200000-500000,4.99,0,0,16,78,194,82,49
7529,426010,womb room,2016-04-04,1,Bearded Eye,Nightdive Studios,47,17,33,0,0,0-20000,1.59,0,0,0,0,20,0,0
7530,426040,goodnight butcher,2015-12-18,1,Perfect Square Studios,Perfect Square Studios,0,29,18,226,226,20000-50000,1.59,0,0,0,35,0,0,0
7531,426050,legie,2017-12-19,1,Spytihněv,Spytihněv,25,12,1,0,0,0-20000,1.69,0,23,0,22,0,0,0
7532,426170,defragmented,2016-02-12,1,Glass Knuckle Games,Glass Knuckle Games,25,28,12,0,0,0-20000,7.19,46,0,0,58,0,0,0
7533,426190,miner meltdown,2017-08-02,1,Mighty Pebble Games Inc,Mighty Pebble Games Inc,70,96,26,0,0,20000-50000,4.99,27,0,13,28,0,0,0
7534,426210,tyran,2017-01-27,1,Dragon's Games,Dragon's Games,0,24,23,0,0,0-20000,4.79,61,0,0,59,0,0,60
7535,426240,caretaker sacrifice,2016-08-17,1,Xiotex Studios Ltd,Xiotex Studios Ltd,0,18,2,0,0,0-20000,15.49,23,20,0,20,0,0,0
7536,426290,the away team lost exodus,2016-07-22,1,Underflow Studios,Crackshell,21,52,14,0,0,0-20000,5.8,0,25,0,24,21,0,0
7537,426310,perception,2017-05-30,1,The Deep End Games,The Deep End Games,33,188,71,0,0,0-20000,15.49,0,52,0,54,0,33,0
7538,426330,metahuman inc,2015-12-18,1,Choice of Games,Choice of Games,21,130,16,0,0,0-20000,5.19,0,0,0,24,0,0,0
7539,426590,blood of magic,2015-12-18,1,Stoneworks Games,Stoneworks Games,42,34,39,0,0,0-20000,6.99,0,31,0,31,20,0,21
7540,426630,bubsy twofur,2015-12-17,1,Accolade,Retroism,0,231,94,0,0,20000-50000,3.99,74,69,0,0,0,5,0
7541,426690,narcissu 10th anniversary anthology project,2016-01-27,1,stage-nana,Sekai Project,0,327,6,157,157,50000-100000,1.99,0,0,23,27,0,6,0
7542,426790,grow up,2016-08-16,1,"Reflections, a Ubisoft Studio",Ubisoft,18,941,118,323,323,50000-100000,8.59,0,49,39,34,0,27,0
7543,426930,moonshot,2015-12-21,1,Pump Action Games,Pump Action Games,0,80,14,0,0,0-20000,3.99,23,0,11,23,0,0,0
7544,427040,pitstop challenge,2016-02-01,1,Laudo Games,KISS ltd,0,4,22,0,0,0-20000,7.99,0,0,20,20,21,0,0
7545,427050,siege the card game,2016-09-22,1,SIA Next Level,SIA Next Level,18,8,4,0,0,0-20000,3.99,0,0,0,22,0,0,21
7546,427100,fernbus simulator,2016-08-25,1,TML-Studios,Aerosoft GmbH,79,1534,1348,0,0,100000-200000,27.1,0,7,0,0,208,105,0
7547,427190,dead rising,2016-09-12,1,Capcom,Capcom,50,1595,190,166,166,100000-200000,15.99,88,70,0,0,0,63,0
7548,427240,cosmic trip,2017-05-24,1,Funktronic Labs,Funktronic Labs,7,368,45,0,0,20000-50000,14.99,34,25,0,0,0,0,34
7549,427250,8bit armies,2016-04-22,1,Petroglyph,Petroglyph,29,1370,335,0,0,100000-200000,10.99,17,0,0,41,47,0,90
7550,427290,vampyr,2018-06-04,1,DONTNOD Entertainment,Focus Home Interactive,28,4580,1717,794,1154,200000-500000,44.99,157,64,0,0,0,134,0
7551,427470,democracy 3 africa,2016-04-12,1,Positech Games,Positech Games,42,189,76,1505,1505,50000-100000,10.99,0,0,0,24,33,0,28
7552,427480,fritzchess 15,2016-02-22,1,ChessBase GmbH,ChessBase GmbH,0,26,21,0,0,0-20000,27.79,0,0,0,0,0,0,20
7553,427490,shadowhand rpg card game,2017-12-07,1,Grey Alien Games,Positech Games,19,302,58,0,0,0-20000,11.39,0,24,24,60,0,41,57
7554,427510,way of the samurai 3,2016-03-23,1,ACQUIRE Corp.,Ghostlight LTD,50,206,59,815,815,20000-50000,14.99,51,49,0,0,0,32,0
7555,427520,factorio,2016-02-25,1,Wube Software LTD.,Wube Software LTD.,38,47918,723,10087,6880,1000000-2000000,21.0,0,0,0,453,554,547,1022
7556,427550,tibetan quest beyond the worlds end,2016-04-07,1,Brave Giant LTD,Artifex Mundi,18,88,47,153,153,20000-50000,6.99,0,38,35,12,0,14,0
7557,427570,dawn of andromeda,2017-05-04,1,Grey Wolf Entertainment,Iceberg Interactive,34,89,79,1500,1500,0-20000,22.99,0,0,0,25,0,0,40
7558,427610,nc tower defense 2,2017-05-29,1,Dincicode,Dincicode,20,4,5,0,0,0-20000,3.99,21,21,0,21,0,0,21
7559,427640,the ables freepoint high,2016-04-07,1,"Qiwi Games, LLC;Graveck","Qiwi Games, LLC",0,20,5,0,0,0-20000,0.79,22,21,0,0,0,0,0
7560,427660,nightcry,2016-03-28,1,Nude Maker,AGM PLAYISM,16,128,87,0,0,0-20000,18.99,0,45,12,38,0,20,0
7561,427680,zwei the arges adventure,2018-01-24,1,Nihon Falcom,"XSEED Games;Marvelous USA, Inc.",22,108,11,0,0,0-20000,14.99,29,0,0,0,0,0,0
7562,427700,zwei the ilvard insurrection,2017-10-31,1,Nihon Falcom,"XSEED Games;Marvelous USA, Inc.",23,195,5,0,0,0-20000,24.99,30,0,0,0,0,0,0
7563,427730,whos your daddy,2016-05-13,1,Evil Tortilla Games,Evil Tortilla Games,0,9751,3747,103,70,1000000-2000000,3.99,205,156,283,260,406,117,355
7564,427760,a chair in a room greenwater,2016-03-30,1,Wolf & Wood Interactive Ltd,Wolf & Wood Interactive Ltd,11,466,66,0,0,20000-50000,18.99,0,25,0,24,23,0,0
7565,427770,pills4skills,2016-01-25,1,Petro Shoferystov,Petro Shoferystov,9,44,3,0,0,0-20000,1.99,23,0,0,21,0,0,0
7566,427780,perfect angle the puzzle game based on optical illusions,2015-12-22,1,Ivanovich Games,Ivanovich Games,37,250,66,96,96,50000-100000,6.99,0,22,26,24,0,0,23
7567,427810,calendula,2016-02-02,1,Blooming Buds Studio,Blooming Buds Studio,8,249,74,0,0,20000-50000,4.99,0,0,0,40,0,0,0
7568,427820,hitman go,2016-02-23,1,Square Enix Montréal,Square Enix,26,782,152,210,210,100000-200000,6.49,0,0,17,0,0,21,50
7569,427860,the next world,2016-03-07,1,Illuminated Games,AAD Productions,37,62,25,0,0,20000-50000,9.99,0,23,23,21,0,0,14
7570,427880,pamela,2017-03-09,1,NVYVE® Studios,NVYVE® Studios,0,370,151,0,0,0-20000,18.99,36,34,0,37,0,20,0
7571,427890,felt tip circus,2016-04-05,1,Alpha Wave Entertainment,AAD Productions,0,19,6,0,0,0-20000,5.59,22,0,21,21,0,0,0
7572,427910,zavix tower,2016-07-21,1,Batholith Entertainment,Indie Voyage,14,254,76,0,0,0-20000,6.99,0,44,44,52,0,27,38
7573,427930,army of tentacles not a cthulhu dating sim,2016-02-15,1,Stegalosaurus Game Development,Stegalosaurus Game Development,69,38,27,171,172,50000-100000,3.99,0,33,0,33,0,12,0
7574,427950,the withering,2015-12-18,1,CM Softworks,CM Softworks,0,188,99,0,0,0-20000,7.19,32,41,0,34,38,8,32
7575,427970,heathen engineerings terran,2019-03-20,1,Heathen Engineering,Heathen Engineering,30,6,7,0,0,0-20000,30.99,40,0,0,41,0,0,41
7576,427980,aozora meikyuu,2016-01-27,1,Yume Creations,Yume Creations,1,386,96,152,152,100000-200000,3.99,0,27,18,41,0,30,0
7577,428020,the orpheus ruse,2015-12-18,1,Choice of Games,Choice of Games,13,5,2,0,0,0-20000,2.89,0,0,0,21,0,0,0
7578,428040,sixth grade detective,2015-12-21,1,Choice of Games,Choice of Games,19,22,2,0,0,0-20000,2.09,0,0,0,21,0,0,0
7579,428060,millia the ending,2016-01-08,1,Millia Soft,Millia Soft,0,22,3,0,0,0-20000,0.0,0,0,0,21,0,12,0
7580,428080,racket nx,2018-07-17,1,One Hamsa,One Hamsa,0,356,12,17,17,0-20000,15.49,74,0,6,68,0,41,0
7581,428100,beyond reality,2016-01-08,1,EternalShadow Studios,Aldorlea Games,24,84,6,0,0,0-20000,3.99,31,35,34,33,0,0,33
7582,428110,save halloween city of witches,2016-05-09,1,Quick Click Games,Calenture Remedy Ltd,63,16,11,0,0,0-20000,3.99,0,23,23,0,0,0,0
7583,428130,walk the light,2016-01-04,1,Anti Crunch Studios,Anti Crunch Studios,6,3,0,0,0,0-20000,3.99,0,22,0,23,0,0,0
7584,428180,islet online,2019-02-11,1,Morenori Soft,Morenori Soft,10,296,85,0,0,0-20000,13.49,0,0,0,38,0,0,0
7585,428190,madout open city,2016-03-29,1,MadOut Games,MadOut Games,0,102,153,0,0,20000-50000,5.59,44,0,0,32,34,0,0
7586,428200,attack heroes,2017-04-27,1,Ejoy Games,Ejoy Games,60,155,68,0,0,0-20000,6.99,0,23,0,24,0,0,29
7587,428210,horror in the asylum,2016-02-01,1,Adham Jaber,Adham Jaber,0,17,30,0,0,0-20000,3.99,24,24,0,23,0,0,0
7588,428220,turnon,2016-06-01,1,Brainy Studio LLC,Brainy Studio LLC,82,272,55,0,0,20000-50000,10.99,47,52,49,52,0,29,0
7589,428230,swift,2016-06-02,1,Windflow,Windflow,14,5,1,0,0,0-20000,4.79,33,0,0,33,0,0,0
7590,428240,hauntsters,2015-12-22,1,Shark Tree Studios,Shark Tree Studios,0,2,0,0,0,0-20000,3.99,23,0,0,22,0,0,0
7591,428250,mystery castle the mirrors secret,2015-12-18,1,Meridian'93,1C Entertainment,0,27,10,0,0,0-20000,4.99,0,23,24,0,0,0,0
7592,428260,the book of desires,2015-12-18,1,Meridian'93,1C Entertainment,0,21,24,0,0,0-20000,4.99,0,23,24,0,0,0,0
7593,428270,twilight city love as a cure,2015-12-18,1,Meridian'93,1C Entertainment,0,36,15,0,0,20000-50000,4.99,0,23,25,0,0,0,0
7594,428280,mystery of unicorn castle the beastmaster,2015-12-01,1,Meridian'93,1C Entertainment,0,33,7,0,0,0-20000,4.99,0,23,23,0,0,0,0
7595,428350,fear equation,2016-01-15,1,Screwfly Studios,Screwfly Studios,38,57,11,0,0,0-20000,11.39,0,0,0,23,24,0,24
7596,428370,windlands,2016-04-05,1,Psytec Games Ltd,Psytec Games Ltd,29,546,168,0,0,20000-50000,14.99,0,49,0,44,0,25,0
7597,428410,prio,2016-03-18,1,DanielDavisGames,DanielDavisGames,9,25,3,0,0,0-20000,4.79,22,20,0,22,0,0,0
7598,428440,chasing dead,2016-03-03,1,2020 Venture,2020 Venture,10,143,85,0,0,0-20000,6.99,37,35,0,24,0,0,0
7599,428460,kings of israel,2015-12-21,1,Alastair John Jack;Lance Hill,Funhill Games,20,41,7,0,0,0-20000,3.99,0,0,22,22,0,0,22
7600,428490,germination,2018-04-12,1,Sullivan Boyd;Caden Petersen,Sullivan Boyd & Caden Petersen,9,25,1,0,0,0-20000,2.89,52,0,0,62,0,42,0
7601,428510,solitaire christmas match 2 cards,2015-12-24,1,Creobit,8Floor,21,44,18,335,335,50000-100000,3.99,0,0,34,11,0,0,0
7602,428530,machine gun train run,2016-02-26,1,Party Robot Studio,Party Robot Studio,12,20,11,0,0,0-20000,0.79,22,0,0,22,0,0,0
7603,428540,fragments of him,2016-05-03,1,Sassybot,Sassybot,0,62,16,0,0,0-20000,6.99,0,0,28,28,0,0,0
7604,428550,momodora reverie under the moonlight,2016-03-04,1,Bombservice,AGM PLAYISM,9,5904,363,134,192,200000-500000,6.99,171,112,0,150,0,122,0
7605,428590,unearthing colossal,2016-10-21,1,Power Up to Maximum;Liens,Power Up to Maximum;Liens,14,10,12,0,0,0-20000,10.99,22,23,0,22,0,0,0
7606,428610,longsword tabletop tactics,2017-07-20,1,Zero Sum Games,Iceberg Interactive,0,73,33,0,0,0-20000,0.0,0,0,0,22,0,0,35
7607,428630,white mirror,2016-01-26,1,GDNomad,Infernal Dream,0,163,126,256,265,200000-500000,3.99,0,0,0,25,0,0,0
7608,428660,deliver us the moon fortuna,2018-09-28,1,KeokeN Interactive,KeokeN Interactive,28,298,65,0,0,0-20000,19.99,38,43,0,40,13,16,0
7609,428690,youtubers life,2017-02-02,1,U-Play Online,U-Play Online,54,6483,2590,1394,1765,500000-1000000,19.99,0,108,174,170,557,385,278
7610,428740,nordenfelt,2016-01-14,1,Black Golem,Black Golem,8,7,12,0,0,0-20000,4.79,23,0,0,21,0,11,0
7611,428750,neon chrome,2016-04-28,1,10tons Ltd,10tons Ltd,14,743,61,83,86,200000-500000,10.99,110,46,0,106,0,0,0
