,Rank,Game,Month,Year_x,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,Unnamed: 0,Title,Year_y,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
1409,113,magic legends,3,2021,1689148,34823 hours,92059,1149,7243,2273,46,48.51,,,,,,,,,
1410,117,conan exiles,3,2021,1647641,49831 hours,28156,183,3168,2217,67,33.06,,,,,,,,,
1412,122,z1 battle royale,3,2021,1595784,46911 hours,44207,232,5733,2147,63,34.02,,,,,,,,,
1413,124,doom eternal,3,2021,1548785,77391 hours,31258,644,11917,2084,104,20.01,,,,,,,,,
1414,130,yakuza like a dragon,3,2021,1458903,29970 hours,36820,80,2139,1963,40,48.68,,,,,,,,,
1415,135,they are billions,3,2021,1392138,9321 hours,21213,29,642,1873,12,149.36,,,,,,,,,
1416,136,demons souls,3,2021,1375835,55098 hours,23420,163,6379,1851,74,24.97,,,,,,,,,
1418,143,breathedge,3,2021,1235065,20608 hours,42397,158,2645,1662,27,59.93,,,,,,,,,
1420,151,super mario 3d world bowsers fury,3,2021,1132715,40261 hours,33143,220,7280,1524,54,28.13,,,,,,,,,
1421,153,spelunky 2,3,2021,1122100,16069 hours,8340,48,1659,1510,21,69.83,,,,,,,,,
1423,158,betrayalio,3,2021,1101205,5226 hours,136474,76,2459,1482,7,210.72,,,,,,,,,
1424,161,super mario odyssey,3,2021,1083832,21114 hours,62915,105,2519,1458,28,51.33,,,,,,,,,
1425,167,ranch simulator,3,2021,1025525,13182 hours,49322,138,2415,1380,17,77.8,,,,,,,,,
1426,169,nioh 2,3,2021,1019923,50323 hours,14476,127,3482,1372,67,20.27,,,,,,,,,
1427,171,curse of the dead gods,3,2021,1001366,18244 hours,21243,93,2630,1347,24,54.89,,,,,,,,,
1428,177,dont starve together,3,2021,929084,45418 hours,12039,120,6126,1250,61,20.46,,,,,,,,,
1429,178,royal crown,3,2021,924138,12254 hours,25593,56,965,1243,16,75.42,,,,,,,,,
1430,180,uno,3,2021,906085,13028 hours,74828,86,6451,1219,17,69.55,,,,,,,,,
1432,183,rhythm doctor,3,2021,877177,8941 hours,25107,79,2906,1180,12,98.11,,,,,,,,,
1433,187,ghosts n goblins resurrection,3,2021,826360,5950 hours,11473,28,692,1112,8,138.88,,,,,,,,,
1434,188,persona 5 strikers,3,2021,825510,67831 hours,14734,319,5713,1111,91,12.17,,,,,,,,,
1435,190,metin2,3,2021,820134,24740 hours,6461,94,1962,1103,33,33.15,,,,,,,,,
1436,193,kingdom come deliverance,3,2021,807025,18947 hours,11036,64,1716,1086,25,42.59,,,,,,,,,
1437,195,stocks and bonds,3,2021,799894,16734 hours,6748,80,451,1076,22,47.8,,,,,,,,,
1438,196,foxhole,3,2021,795755,14808 hours,23387,71,1089,1071,19,53.74,,,,,,,,,
1439,199,the legend of zelda ocarina of time,3,2021,776888,44938 hours,7995,155,3882,1045,60,17.29,,,,,,,,,
1440,1,just chatting,4,2021,289547911,3544601 hours,937749,8026,474257,402709,4929,81.69,,,,,,,,,
1443,4,call of duty warzone,4,2021,100571607,3596411 hours,1629284,22437,218805,139877,5001,27.96,,,,,,,,,
1445,6,valorant,4,2021,85635830,3435109 hours,440084,8565,306540,119104,4777,24.93,,,,,,,,,
1448,9,apex legends,4,2021,51425055,3688671 hours,171721,8110,297846,71523,5130,13.94,,,,,,,,,
1450,11,fifa 21,4,2021,31997488,857058 hours,270504,4078,99006,44502,1192,37.33,,,,,,,,,
1454,15,music,4,2021,24139407,1008771 hours,91269,2807,58338,33573,1403,23.93,,,,,,,,,
1455,16,hearthstone,4,2021,23090076,205813 hours,81936,544,16526,32114,286,112.19,,,,,,,,,
1456,17,slots,4,2021,21953615,120067 hours,181881,277,5177,30533,166,182.84,,,,,,,,,
1457,18,dead by daylight,4,2021,21524630,1221415 hours,126113,2953,99018,29936,1698,17.62,,,,,,,,,
1458,19,escape from tarkov,4,2021,20719917,825726 hours,159513,1942,39253,28817,1148,25.09,,,,,,,,,
1459,20,among us,4,2021,19448312,348499 hours,374767,4332,87073,27049,484,55.81,,,,,,,,,
1461,22,chess,4,2021,16985289,98570 hours,163548,303,13061,23623,137,172.32,,,,,,,,,
1462,23,the binding of isaac repentance,4,2021,16426825,204533 hours,70537,639,21305,22846,284,80.31,,,,,,,,,
1463,24,teamfight tactics,4,2021,15006825,308819 hours,106508,1703,36550,20871,429,48.59,,,,,,,,,
1464,25,outriders,4,2021,14269489,892952 hours,178993,6539,68168,19846,1241,15.98,,,,,,,,,
1465,26,it takes two,4,2021,13667970,289118 hours,227571,1072,41757,19009,402,47.27,,,,,,,,,
1467,28,garena free fire,4,2021,12780318,341718 hours,137321,1005,29999,17775,475,37.4,,,,,,,,,
1468,29,rust,4,2021,12773408,295481 hours,121978,1390,23343,17765,410,43.23,,,,,,,,,
1470,31,call of duty modern warfare,4,2021,10947416,4495420 hours,62350,34107,356138,15225,6252,2.44,,,,,,,,,
1471,32,sports,4,2021,10905975,87708 hours,204973,417,11327,15168,121,124.34,,,,,,,,,
1472,33,art,4,2021,10387215,648055 hours,50245,1435,63925,14446,901,16.03,,,,,,,,,
1473,34,sea of thieves,4,2021,10301651,449242 hours,141852,1578,45956,14327,624,22.93,,,,,,,,,
1474,35,genshin impact,4,2021,9536061,499932 hours,85750,2602,53069,13262,695,19.07,,,,,,,,,
1475,36,enlisted,4,2021,9397942,162294 hours,477606,1221,26446,13070,225,57.91,,,,,,,,,
1476,37,poker,4,2021,8819940,93009 hours,59393,360,5024,12266,129,94.83,,,,,,,,,
1477,38,lost ark,4,2021,8221297,124392 hours,75582,513,4774,11434,173,66.09,,,,,,,,,
1478,39,asmr,4,2021,8153098,107913 hours,27014,211,5323,11339,150,75.55,,,,,,,,,
1479,40,monster hunter rise,4,2021,7567644,430358 hours,53394,1736,27321,10525,598,17.58,,,,,,,,,
1480,41,talk shows podcasts,4,2021,7560003,197650 hours,97527,703,18751,10514,274,38.25,,,,,,,,,
1481,42,call of duty black ops cold war,4,2021,6963112,1043351 hours,66989,4060,121427,9684,1451,6.67,,,,,,,,,
1483,44,nba 2k21,4,2021,6326716,623787 hours,48763,1944,61785,8799,867,10.14,,,,,,,,,
1485,46,magic the gathering,4,2021,5816455,109662 hours,40792,488,9254,8089,152,53.04,,,,,,,,,
1486,47,diablo ii resurrected,4,2021,5306890,11109 hours,403137,203,1775,7380,15,477.71,,,,,,,,,
1488,49,ark survival evolved,4,2021,5068243,278648 hours,41143,729,23231,7049,387,18.19,,,,,,,,,
1489,50,league of legends wild rift,4,2021,4646016,175409 hours,53444,685,15629,6461,243,26.49,,,,,,,,,
1490,51,dayz,4,2021,4590955,202421 hours,46726,554,14354,6385,281,22.68,,,,,,,,,
1491,52,old school runescape,4,2021,4429010,124172 hours,16226,272,6620,6159,172,35.67,,,,,,,,,
1493,54,fall guys ultimate knockout,4,2021,4202706,220895 hours,118811,702,49275,5845,307,19.03,,,,,,,,,
1494,55,hunt showdown,4,2021,4121765,220198 hours,43946,700,16139,5732,306,18.72,,,,,,,,,
1495,56,travel outdoors,4,2021,3937995,96010 hours,121461,187,4229,5477,133,41.02,,,,,,,,,
1496,57,retro,4,2021,3913550,170587 hours,13775,376,11446,5443,237,22.94,,,,,,,,,
1497,58,black desert online,4,2021,3899984,164140 hours,41162,375,8136,5424,228,23.76,,,,,,,,,
1498,59,gartic phone,4,2021,3897616,85087 hours,78397,449,32600,5420,118,45.81,,,,,,,,,
1499,60,poku00e9mon swordshield,4,2021,3885515,148127 hours,37644,367,12341,5404,206,26.23,,,,,,,,,
1500,61,dungeons dragons,4,2021,3779877,97477 hours,87295,493,9407,5257,135,38.78,,,,,,,,,
1501,62,valheim,4,2021,3725719,336813 hours,31020,1133,31305,5181,468,11.06,,,,,,,,,
1502,63,phasmophobia,4,2021,3722731,348415 hours,112098,1213,68338,5177,484,10.68,,,,,,,,,
1503,64,nier replicant ver122474487139,4,2021,3699112,150605 hours,64809,2260,13516,5144,209,24.56,,,,,,,,,
1505,66,age of empires 2,4,2021,3618472,56230 hours,52743,171,4924,5032,78,64.35,,,,,,,,,
1506,67,science technology,4,2021,3600996,205700 hours,140493,450,10183,5008,286,17.51,,,,,,,,,
1507,68,vrchat,4,2021,3598670,103832 hours,35099,406,11202,5005,144,34.66,,,,,,,,,
1508,69,tibia,4,2021,3434432,176694 hours,9733,461,6386,4776,245,19.44,,,,,,,,,
1509,70,the isle,4,2021,3296422,31034 hours,94380,124,3000,4584,43,106.22,,,,,,,,,
1510,71,starcraft 2,4,2021,3296403,60954 hours,16518,136,4671,4584,84,54.08,,,,,,,,,
1511,72,food drink,4,2021,3235760,45020 hours,110854,135,8232,4500,62,71.87,,,,,,,,,
1512,73,mario kart 8,4,2021,3075327,52223 hours,102474,271,9756,4277,72,58.89,,,,,,,,,
1514,75,mlb the show 21,4,2021,2972650,135263 hours,40946,2008,15078,4134,188,21.98,,,,,,,,,
1515,76,returnal,4,2021,2929388,21770 hours,173372,1469,4446,4074,30,134.56,,,,,,,,,
1516,77,roblox,4,2021,2923823,366646 hours,216339,1009,61361,4066,509,7.97,,,,,,,,,
1517,78,heroes of might and magic iii the restoration of erathia,4,2021,2890400,21032 hours,16431,70,771,4020,29,137.43,,,,,,,,,
1518,79,clash royale,4,2021,2813950,38066 hours,56309,98,5036,3913,52,73.92,,,,,,,,,
1519,80,animal crossing new horizons,4,2021,2770857,111565 hours,34398,289,13040,3853,155,24.84,,,,,,,,,
1520,81,special events,4,2021,2758827,30260 hours,130845,483,4348,3837,42,91.17,,,,,,,,,
1521,82,super smash bros ultimate,4,2021,2755980,137380 hours,57438,460,14923,3833,191,20.06,,,,,,,,,
1522,83,geoguessr,4,2021,2575691,50303 hours,69073,167,11322,3582,69,51.2,,,,,,,,,
1524,85,eternal return black survival,4,2021,2528836,81912 hours,31888,262,6563,3517,113,30.87,,,,,,,,,
1527,87,games demos,4,2021,2406775,278114 hours,34185,2613,46876,3347,386,8.65,,,,,,,,,
1528,88,osu,4,2021,2398217,241119 hours,22655,576,41605,3335,335,9.95,,,,,,,,,
1530,90,first class trouble,4,2021,2357336,17066 hours,91515,105,3197,3278,23,138.13,,,,,,,,,
1531,91,street fighter 5,4,2021,2331060,61996 hours,43406,192,5938,3242,86,37.6,,,,,,,,,
1533,93,altf4,4,2021,2256336,16068 hours,77201,72,5819,3138,22,140.42,,,,,,,,,
1534,94,the legend of zelda breath of the wild,4,2021,2223515,79537 hours,40813,195,7756,3092,110,27.96,,,,,,,,,
1535,95,super mario maker 2,4,2021,2211171,36212 hours,24042,100,3117,3075,50,61.06,,,,,,,,,
1536,96,the elder scrolls online,4,2021,2131362,121315 hours,24078,326,9116,2964,168,17.57,,,,,,,,,
1537,97,home sweet home survive,4,2021,2061460,44394 hours,35316,169,5170,2867,61,46.44,,,,,,,,,
1538,98,brawlhalla,4,2021,2060394,110718 hours,54268,296,23526,2865,153,18.61,,,,,,,,,
1539,99,marbles on stream,4,2021,2054793,64225 hours,40466,189,13391,2857,89,31.99,,,,,,,,,
1540,100,tabletop rpgs,4,2021,1998175,25536 hours,85377,133,2534,2779,35,78.25,,,,,,,,,
1541,101,mario kart 8 deluxe,4,2021,1997059,27040 hours,141392,154,6688,2777,37,73.86,,,,,,,,,
1542,102,scavengers,4,2021,1986105,35707 hours,118346,935,8574,2762,49,55.62,,,,,,,,,
1543,103,poku00e9mon trading card game,4,2021,1944334,60483 hours,65024,231,7151,2704,84,32.15,,,,,,,,,
1544,104,project zomboid,4,2021,1923704,35762 hours,14323,96,3065,2675,49,53.79,,,,,,,,,
1546,106,pubg mobile,4,2021,1866087,114652 hours,36052,303,8432,2595,159,16.28,,,,,,,,,
1547,107,the sims 4,4,2021,1852675,107842 hours,16238,284,17260,2576,149,17.18,,,,,,,,,
1548,108,f1 2020,4,2021,1847152,141336 hours,35727,1178,19617,2569,196,13.07,,,,,,,,,
1549,109,crypto,4,2021,1837432,55738 hours,9814,123,1059,2555,77,32.97,,,,,,,,,
1550,110,chivalry 2,4,2021,1820426,12057 hours,62554,241,2622,2531,16,150.98,,,,,,,,,
1551,111,satisfactory,4,2021,1799886,88912 hours,68029,341,7601,2503,123,20.24,,,,,,,,,
1552,112,super mario 64,4,2021,1781951,42381 hours,59477,130,4754,2478,58,42.05,,,,,,,,,
1553,113,iracing,4,2021,1728334,104414 hours,23397,1137,6374,2403,145,16.55,,,,,,,,,
1554,114,no mans sky,4,2021,1727360,69289 hours,37133,306,7368,2402,96,24.93,,,,,,,,,
1555,115,dofus,4,2021,1720155,41261 hours,30395,585,2533,2392,57,41.69,,,,,,,,,
1556,116,maplestory,4,2021,1694026,50587 hours,53285,198,2899,2356,70,33.49,,,,,,,,,
1558,118,knockout city,4,2021,1631512,28985 hours,304163,804,8785,2269,40,56.29,,,,,,,,,
1560,120,totally accurate battlegrounds,4,2021,1606679,39344 hours,79789,187,12797,2234,54,40.84,,,,,,,,,
1561,121,mortal kombat 11,4,2021,1598509,74444 hours,122129,244,11741,2223,103,21.47,,,,,,,,,
1562,122,runescape,4,2021,1596587,49347 hours,10180,126,3073,2220,68,32.35,,,,,,,,,
1563,123,legends of runeterra,4,2021,1557225,34372 hours,26291,131,3400,2165,47,45.31,,,,,,,,,
1564,124,krunker,4,2021,1554454,42279 hours,10114,129,6368,2161,58,36.77,,,,,,,,,
1565,125,pummel party,4,2021,1536232,30852 hours,53580,225,8857,2136,42,49.79,,,,,,,,,
1566,126,super smash bros melee,4,2021,1514575,27944 hours,53332,105,2927,2106,38,54.2,,,,,,,,,
1567,127,brawl stars,4,2021,1488732,121844 hours,47663,319,17013,2070,169,12.22,,,,,,,,,
1568,128,halo the master chief collection,4,2021,1485825,127741 hours,96356,472,15844,2066,177,11.63,,,,,,,,,
1569,129,warcraft 3,4,2021,1483437,33617 hours,34353,86,1941,2063,46,44.13,,,,,,,,,
1570,130,madden nfl 21,4,2021,1436393,179615 hours,30670,684,21282,1997,249,8.0,,,,,,,,,
1572,132,war by grow games,4,2021,1384452,1863 hours,60101,38,502,1925,2,743.13,,,,,,,,,
1573,133,anime land,4,2021,1373900,7320 hours,14758,26,629,1910,10,187.69,,,,,,,,,
1574,134,raid shadow legends,4,2021,1318665,23644 hours,20214,66,1758,1834,32,55.77,,,,,,,,,
1575,135,football manager 2021,4,2021,1298725,37517 hours,16353,143,2801,1806,52,34.62,,,,,,,,,
1577,137,warframe,4,2021,1293535,141460 hours,53964,457,12131,1799,196,9.14,,,,,,,,,
1578,138,trackmania,4,2021,1287807,19801 hours,22573,98,2628,1791,27,65.04,,,,,,,,,
1579,139,little nightmares 2,4,2021,1284290,43150 hours,103021,159,9605,1786,60,29.76,,,,,,,,,
1582,142,red dead redemption 2,4,2021,1270179,206854 hours,6814,510,19964,1766,287,6.14,,,,,,,,,
1583,143,lineage 2m,4,2021,1253833,5065 hours,20680,21,186,1743,7,247.55,,,,,,,,,
1584,144,forza horizon 4,4,2021,1243281,105621 hours,32793,313,17417,1729,146,11.77,,,,,,,,,
1585,145,slay the spire,4,2021,1237764,16238 hours,34377,50,2526,1721,22,76.23,,,,,,,,,
1586,146,devour,4,2021,1221180,38331 hours,108766,367,13959,1698,53,31.86,,,,,,,,,
1587,147,makers crafting,4,2021,1183823,83543 hours,10417,199,7344,1646,116,14.17,,,,,,,,,
1589,149,business tour,4,2021,1158042,9490 hours,55717,84,3461,1610,13,122.03,,,,,,,,,
1590,150,jackbox party packs,4,2021,1149485,55011 hours,159312,315,14224,1598,76,20.9,,,,,,,,,
1591,151,call of duty mobile,4,2021,1143233,200201 hours,21185,508,20149,1590,278,5.71,,,,,,,,,
1592,152,hobo tough life,4,2021,1130877,8649 hours,37671,50,1243,1572,12,130.75,,,,,,,,,
1593,153,summoners war sky arena,4,2021,1124852,25508 hours,16128,110,1676,1564,35,44.1,,,,,,,,,
1594,154,new poku00e9mon snap,4,2021,1123274,22247 hours,112450,1931,6843,1562,30,50.49,,,,,,,,,
1595,155,bloodborne,4,2021,1114162,67853 hours,10763,187,7500,1549,94,16.42,,,,,,,,,
1596,156,fitness health,4,2021,1098589,21863 hours,105422,86,2464,1527,30,50.25,,,,,,,,,
1599,159,poku00e9mon go,4,2021,1077211,30812 hours,7654,197,2508,1498,42,34.96,,,,,,,,,
1600,160,worms wmd,4,2021,1074894,3011 hours,62831,22,878,1494,4,356.99,,,,,,,,,
1601,161,knight online,4,2021,1064513,17693 hours,7158,80,906,1480,24,60.17,,,,,,,,,
1602,162,detroit become human,4,2021,1063297,28204 hours,65115,105,5261,1478,39,37.7,,,,,,,,,
1603,163,umamusume pretty derby,4,2021,1053948,17997 hours,7823,83,1615,1465,25,58.56,,,,,,,,,
1604,164,resident evil,4,2021,1048811,28834 hours,15827,112,4250,1458,40,36.37,,,,,,,,,
1605,165,super mario world,4,2021,1044912,24558 hours,7734,74,2439,1453,34,42.55,,,,,,,,,
1607,167,evil genius 2 world domination,4,2021,1007472,24261 hours,20750,181,2551,1401,33,41.53,,,,,,,,,
1608,168,watch parties,4,2021,1006866,17967 hours,31307,69,5249,1400,24,56.04,,,,,,,,,
1609,169,conquerors blade,4,2021,1006794,42052 hours,18498,128,2686,1400,58,23.94,,,,,,,,,
1610,170,resident evil 2,4,2021,1006434,70902 hours,11349,217,10665,1399,98,14.19,,,,,,,,,
1611,171,bloons td 6,4,2021,988794,47391 hours,53024,187,9595,1375,65,20.86,,,,,,,,,
1612,172,gears 5,4,2021,970892,69845 hours,13246,243,7149,1350,97,13.9,,,,,,,,,
1613,173,paladins,4,2021,959169,110331 hours,8348,333,14644,1334,153,8.69,,,,,,,,,
1614,174,virtual casino,4,2021,925929,9448 hours,122589,33,870,1287,13,98.0,,,,,,,,,
1615,175,albion online,4,2021,923519,53246 hours,21820,133,3241,1284,74,17.34,,,,,,,,,
1616,176,cyberpunk 2077,4,2021,916993,87070 hours,31013,260,10261,1275,121,10.53,,,,,,,,,
1617,177,summoners war lost centuria,4,2021,907369,3298 hours,95637,97,583,1261,4,275.13,,,,,,,,,
1619,179,trials rising,4,2021,879900,4978 hours,19178,26,639,1223,6,176.76,,,,,,,,,
1621,181,star citizen,4,2021,877736,40912 hours,5295,161,2598,1220,56,21.45,,,,,,,,,
1622,182,7 days to die,4,2021,867372,110696 hours,7781,322,9378,1206,153,7.84,,,,,,,,,
1623,183,gwent the witcher card game,4,2021,866691,14150 hours,12886,43,988,1205,19,61.25,,,,,,,,,
1624,184,yugioh duel links,4,2021,863882,23770 hours,6170,68,2468,1201,33,36.34,,,,,,,,,
1625,185,rogue company,4,2021,857681,158104 hours,3774,448,19530,1192,219,5.42,,,,,,,,,
1626,186,rimworld,4,2021,856442,36788 hours,8621,97,2682,1191,51,23.28,,,,,,,,,
1627,187,super mario party,4,2021,851354,4186 hours,92024,131,1534,1184,5,203.38,,,,,,,,,
1628,188,lineage 2,4,2021,850897,68633 hours,3855,259,1958,1183,95,12.4,,,,,,,,,
1629,189,naraka bladepoint,4,2021,848361,22137 hours,44436,477,4802,1179,30,38.32,,,,,,,,,
1630,190,sekiro shadows die twice,4,2021,841198,48052 hours,18159,137,6017,1169,66,17.51,,,,,,,,,
1631,191,friday night funkin,4,2021,834656,59951 hours,96028,234,19987,1160,83,13.92,,,,,,,,,
1632,192,tom clancys the division 2,4,2021,832190,58914 hours,38585,163,6415,1157,81,14.13,,,,,,,,,
1633,193,god of war,4,2021,817609,60880 hours,20767,161,6858,1137,84,13.43,,,,,,,,,
1634,194,clash of clans,4,2021,800398,24070 hours,51910,76,2862,1113,33,33.25,,,,,,,,,
1637,197,hades,4,2021,794472,52755 hours,36447,152,8663,1104,73,15.06,,,,,,,,,
1638,198,epic seven,4,2021,778750,18362 hours,11670,47,997,1083,25,42.41,,,,,,,,,
1639,199,poku00e9mon platinum,4,2021,777305,22380 hours,61580,76,2837,1081,31,34.73,,,,,,,,,
1640,200,farming simulator 19,4,2021,771697,91602 hours,11019,319,7942,1073,127,8.42,,,,,,,,,
