,appid,name,release_date,english,developer,publisher,platforms,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
117,233860,kenshi,2018-12-06,1,Lo-Fi Games,Lo-Fi Games,windows,0,0,9512,1171,1756,2026,200000-500000,22.99,165,kenshi,12,2019,371381,6132 hours,6836,23,606,499,8,60.56
118,234140,mad max,2015-09-01,1,Avalanche Studios;Feral Interactive (Mac);Feral Interactive (Linux),Warner Bros. Interactive Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,18,49,36222,3811,1030,699,2000000-5000000,15.99,159,mad max,5,2017,185738,4604 hours,14353,26,1159,249,6,40.34
119,234670,naruto shippuden ultimate ninja storm 3 full burst,2013-10-24,1,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,windows,0,54,8209,882,1360,2404,500000-1000000,14.99,200,naruto shippuden ultimate ninja storm 3 full burst,1,2016,170447,782 hours,24391,12,213,229,1,217.96
120,235340,prime world,2014-03-31,1,Nival,Nival,windows,0,0,1954,1378,28,33,500000-1000000,0.0,191,prime world,11,2017,156444,5968 hours,882,22,255,217,8,26.21
121,236390,war thunder,2013-08-15,1,Gaijin Entertainment,Gaijin Entertainment,windows;mac;linux,0,46,83852,22166,4200,297,10000000-20000000,0.0,147,war thunder,3,2021,1193428,102472 hours,11840,301,9318,1606,137,11.65
122,236430,dark souls 2,2014-04-25,1,"FromSoftware, Inc","BANDAI NAMCO Entertainment;FromSoftware, Inc",windows,16,38,30008,3799,2377,3041,1000000-2000000,29.99,180,dark souls 2,4,2021,878120,42196 hours,11941,117,3948,1221,58,20.81
123,236690,blood bowl 2,2015-09-22,1,Cyanide Studios,Focus Home Interactive,windows;mac,0,31,2734,1085,1433,1433,200000-500000,14.99,148,blood bowl 2,9,2017,233113,5971 hours,6594,27,631,324,8,39.04
124,238010,deus ex human revolution,2013-10-25,1,Eidos Montreal;Feral Interactive (Mac),Square Enix;Feral Interactive (Mac),windows;mac,16,59,13044,1233,947,875,1000000-2000000,12.99,67,deus ex human revolution,8,2016,483592,6252 hours,18778,44,839,650,8,77.35
125,238320,outlast,2013-09-04,1,Red Barrels,Red Barrels,windows;mac;linux,0,14,45966,1953,751,166,2000000-5000000,15.49,197,outlast,12,2020,519209,27662 hours,97966,107,8728,698,37,18.77
126,238460,battleblock theater,2014-05-15,1,The Behemoth,The Behemoth,windows;mac;linux,0,30,47342,1290,774,289,2000000-5000000,10.99,101,battleblock theater,1,2016,332256,2041 hours,152739,19,1097,447,2,162.79
127,238960,path of exile,2013-10-23,1,Grinding Gear Games,Grinding Gear Games,windows,0,120,71593,6117,5263,492,10000000-20000000,0.0,21,path of exile,4,2021,19124620,317139 hours,319087,4075,16702,26598,441,60.3
128,239030,papers please,2013-08-08,1,Lucas Pope,3909,windows;mac;linux,0,13,25587,1103,674,214,2000000-5000000,6.99,102,papers please,2,2018,473786,2447 hours,40920,23,980,706,3,193.62
129,239140,dying light,2015-01-26,1,Techland,Techland Publishing,windows;mac;linux,18,68,78192,6176,2033,1299,2000000-5000000,24.99,177,dying light,10,2020,651448,39571 hours,106181,180,6216,876,53,16.46
130,240720,getting over it with bennett foddy,2017-12-06,1,Bennett Foddy,Bennett Foddy,windows;mac;linux,0,3,10964,2913,169,208,1000000-2000000,5.79,183,getting over it with bennett foddy,6,2019,343951,4520 hours,22530,22,2173,478,6,76.1
131,240760,wasteland 2,2014-09-18,1,inXile Entertainment,inXile Entertainment,windows;mac;linux,18,46,6221,1309,564,624,500000-1000000,23.79,148,wasteland 2,2,2020,506126,1906 hours,22327,10,134,728,2,265.54
132,242680,nuclear throne,2015-12-05,1,Vlambeer,Vlambeer,windows;mac;linux,0,44,9694,405,682,491,500000-1000000,9.29,174,nuclear throne,6,2016,112150,2282 hours,3998,21,473,155,3,49.15
133,242760,the forest,2018-04-30,1,Endnight Games Ltd,Endnight Games Ltd,windows,18,45,110460,8881,2417,1127,2000000-5000000,15.49,140,the forest,4,2021,1273549,114555 hours,18421,457,19589,1771,159,11.12
134,244850,space engineers,2019-02-28,1,Keen Software House,Keen Software House,windows,0,27,60221,9609,3739,1147,2000000-5000000,15.49,194,space engineers,1,2020,359847,17925 hours,6917,56,1840,484,24,20.08
135,245490,trials fusion,2014-04-24,1,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,windows,0,0,1141,615,418,480,200000-500000,16.99,197,trials fusion,7,2018,256101,5960 hours,7307,30,1432,344,8,42.97
136,245620,tropico 5,2014-05-23,1,Haemimont Games,Kalypso Media Digital,windows;mac;linux,0,70,7878,2482,292,364,1000000-2000000,14.99,165,tropico 5,5,2017,179152,1258 hours,9216,8,348,241,1,142.41
137,246620,plague inc evolved,2016-02-18,1,Ndemic Creations,Ndemic Creations,windows;mac;linux,0,199,20081,1419,585,480,1000000-2000000,11.99,178,plague inc evolved,2,2020,395658,3906 hours,19736,36,1720,569,5,101.29
138,246900,viscera cleanup detail,2015-10-23,1,RuneStorm,RuneStorm,windows;mac,0,85,6753,580,589,580,500000-1000000,9.99,135,viscera cleanup detail,12,2016,250781,1091 hours,36637,14,69,337,1,229.86
139,248310,freedom planet,2014-07-21,1,GalaxyTrail,GalaxyTrail,windows;mac;linux,0,56,3549,163,259,231,200000-500000,10.99,193,freedom planet,7,2017,224282,358 hours,179353,16,101,301,0,626.49
140,249050,dungeon of the endless,2014-10-27,1,AMPLITUDE Studios,SEGA,windows;mac,0,33,7423,1046,648,295,500000-1000000,8.99,181,dungeon of the endless,12,2017,187185,713 hours,34222,6,216,251,0,262.53
141,250900,the binding of isaac rebirth,2014-11-04,1,"Nicalis, Inc.","Nicalis, Inc.",windows;mac;linux,16,403,72830,1840,4583,3236,2000000-5000000,10.99,166,the binding of isaac rebirth,4,2021,1030810,41360 hours,24535,151,8046,1433,57,24.92
142,251270,corpse party,2016-04-25,1,GrisGris,"XSEED Games;Marvelous USA, Inc.",windows;linux,18,17,459,39,0,0,20000-50000,10.99,118,corpse party,10,2016,250546,826 hours,17111,10,157,337,1,303.32
143,251570,7 days to die,2013-12-13,1,The Fun Pimps,The Fun Pimps Entertainment LLC,windows;mac;linux,0,43,60718,16905,2953,574,2000000-5000000,18.99,182,7 days to die,4,2021,867372,110696 hours,7781,322,9378,1206,153,7.84
144,252490,rust,2018-02-08,1,Facepunch Studios,Facepunch Studios,windows;mac,18,48,220370,53709,9352,2234,5000000-10000000,27.79,29,rust,4,2021,12773408,295481 hours,121978,1390,23343,17765,410,43.23
145,252610,death road to canada,2016-07-21,1,Rocketcat Games;Madgarden,Rocketcat Games,windows;mac;linux,0,72,3307,234,1139,1796,200000-500000,10.99,131,death road to canada,8,2016,213419,2846 hours,11906,17,515,287,3,74.99
146,252950,rocket league,2015-07-07,1,"Psyonix, Inc.","Psyonix, Inc.",windows;mac;linux,0,88,242561,21816,5825,1462,5000000-10000000,14.99,13,rocket league,4,2021,26303228,1326664 hours,214487,3937,241744,36583,1845,19.83
147,253230,a hat in time,2017-10-05,1,Gears for Breakfast,Gears for Breakfast,windows;mac,0,37,14019,292,377,376,200000-500000,22.99,170,a hat in time,9,2018,286598,14520 hours,8015,182,3065,398,20,19.74
148,253250,stonehearth,2018-07-25,1,Radiant Entertainment,(none),windows;mac,0,0,5242,1719,644,1259,200000-500000,15.49,107,stonehearth,1,2017,456406,4674 hours,17583,32,635,614,6,97.65
149,254300,dofus,2016-11-15,1,Ankama Studio,Ankama Games,windows,0,1448,264,102,244,244,50000-100000,0.0,115,dofus,4,2021,1720155,41261 hours,30395,585,2533,2392,57,41.69
150,254700,resident evil 4,2014-02-27,1,Capcom,Capcom,windows,16,12,11260,2172,1073,938,500000-1000000,14.99,161,resident evil 4,1,2020,475073,16667 hours,175922,55,2890,639,22,28.5
151,255710,cities skylines,2015-03-10,1,Colossal Order Ltd.,Paradox Interactive,windows;mac;linux,0,97,67553,6005,3225,444,5000000-10000000,22.99,155,cities skylines,4,2020,609188,28418 hours,27378,99,3786,847,39,21.44
152,257850,hyper light drifter,2016-03-31,1,Heart Machine,Heart Machine,windows;mac;linux,0,23,11027,721,275,354,500000-1000000,14.99,103,hyper light drifter,4,2016,256429,11517 hours,29068,120,2670,356,16,22.27
153,261640,borderlands the presequel,2014-10-16,1,2K Australia;Gearbox Software;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),windows;mac;linux,18,63,16909,5076,1661,886,2000000-5000000,29.99,180,borderlands the presequel,6,2018,287491,3450 hours,105766,19,878,399,4,83.33
154,262060,darkest dungeon,2016-01-19,1,Red Hook Studios,Red Hook Studios,windows;mac;linux,0,104,41544,6741,1121,619,2000000-5000000,18.99,154,darkest dungeon,3,2021,1119802,30689 hours,10231,97,3828,1507,41,36.49
155,264710,subnautica,2018-01-23,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows;mac,0,17,90155,5413,1446,937,2000000-5000000,19.49,141,subnautica,4,2021,1270453,212990 hours,13557,782,28062,1766,296,5.96
156,265000,forced showdown,2016-03-29,1,BetaDwarf,BetaDwarf,windows;mac;linux,0,81,478,77,822,822,50000-100000,14.99,139,forced showdown,3,2016,168461,3033 hours,6181,25,398,226,4,55.54
157,265930,goat simulator,2014-04-01,1,Coffee Stain Studios,Coffee Stain Publishing,windows;mac;linux,0,127,45892,5779,309,149,2000000-5000000,7.19,192,goat simulator,6,2016,95776,11030 hours,1656,154,7582,133,15,8.68
158,266410,iracing,2015-01-12,1,iRacing.com Motorsport Simulations;iRacing,iRacing.com Motorsport Simulations;iRacing,windows,0,0,747,140,4,4,20000-50000,7.99,113,iracing,4,2021,1728334,104414 hours,23397,1137,6374,2403,145,16.55
159,266510,hand of fate,2015-02-17,1,Defiant Development,Defiant Development,windows;mac;linux,0,53,8045,794,371,297,500000-1000000,14.99,175,hand of fate,9,2017,190079,705 hours,12334,7,202,264,0,269.62
160,268050,the evil within,2014-10-13,1,Tango Gameworks,Bethesda Softworks,windows,18,71,10581,2363,635,898,500000-1000000,14.99,179,the evil within,7,2018,297137,7628 hours,8258,26,1417,399,10,38.95
161,268500,xcom 2,2016-02-04,1,Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux),2K;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,88,28774,7018,1891,1985,1000000-2000000,34.99,131,xcom 2,4,2021,1428596,15779 hours,38141,54,1381,1986,21,90.54
162,268910,cuphead,2017-09-29,1,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,windows;mac,0,28,38821,1698,620,441,1000000-2000000,14.99,196,cuphead,4,2021,795329,31721 hours,90364,98,7795,1106,44,25.07
163,270880,american truck simulator,2016-02-02,1,SCS Software,SCS Software,windows;mac;linux,0,43,25316,2096,2086,1694,1000000-2000000,14.99,134,american truck simulator,11,2017,294246,14678 hours,43034,79,2342,409,20,20.05
164,271590,grand theft auto 5,2015-04-13,1,Rockstar North,Rockstar Games,windows,18,77,329061,139308,9837,4834,10000000-20000000,24.99,2,grand theft auto 5,4,2021,239438984,2508876 hours,1105818,7043,211141,333016,3489,95.44
165,274520,darkwood,2017-08-17,1,Acid Wizard Studio,Acid Wizard Studio,windows;mac;linux,0,15,3856,238,417,417,200000-500000,11.99,84,darkwood,10,2017,615285,2579 hours,37068,19,629,828,3,238.58
166,275850,no mans sky,2016-08-12,1,Hello Games,Hello Games,windows,0,27,63444,56488,2004,1222,1000000-2000000,39.99,114,no mans sky,4,2021,1727360,69289 hours,37133,306,7368,2402,96,24.93
167,278890,angvik,2014-02-24,1,Alastair John Jack,Alastair John Jack,windows;mac,0,21,1439,183,271,271,100000-200000,2.09,97,angvik,7,2017,506384,2610 hours,16666,25,684,681,3,194.02
168,280520,crea,2016-06-09,1,Siege Games,Siege Games,windows;mac;linux,0,50,792,194,322,322,50000-100000,10.99,122,crea,6,2016,177699,1527 hours,11489,16,255,247,2,116.37
169,281990,stellaris,2016-05-09,1,Paradox Development Studio,Paradox Interactive,windows;mac;linux,0,95,35327,10036,2729,1563,2000000-5000000,34.99,156,stellaris,3,2020,562399,20133 hours,21339,146,2395,756,27,27.93
170,282070,this war of mine,2014-11-14,1,11 bit studios,11 bit studios,windows;mac;linux,0,42,47258,2571,512,347,2000000-5000000,14.99,147,this war of mine,11,2017,257056,5831 hours,17603,29,1419,357,8,44.08
171,282140,soma,2015-09-21,1,Frictional Games,Frictional Games,windows;mac;linux,0,10,16463,754,258,347,500000-1000000,22.99,130,soma,10,2016,227257,5734 hours,14846,55,1286,305,7,39.63
172,282560,rollercoaster tycoon world,2016-11-16,1,Nvizzio Creations,Atari;RCTO Productions,windows,0,30,1182,3585,2577,4878,100000-200000,10.99,132,rollercoaster tycoon world,4,2016,172269,2864 hours,10836,40,614,239,3,60.15
173,283640,salt and sanctuary,2016-05-17,1,Ska Studios,Ska Studios,windows;mac;linux,16,37,7173,634,623,813,200000-500000,13.59,141,salt and sanctuary,5,2016,152212,6837 hours,12486,61,1529,204,9,22.26
174,285190,warhammer 40000 dawn of war 3,2017-04-27,1,Relic Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,84,6793,8336,704,817,500000-1000000,29.99,98,warhammer 40000 dawn of war 3,5,2017,426220,12320 hours,7960,69,1270,573,16,34.6
175,285330,rollercoaster tycoon 2,2014-05-21,1,Chris Sawyer Productions,Atari,windows,0,0,2086,336,200,262,500000-1000000,6.99,170,rollercoaster tycoon 2,6,2016,117444,568 hours,21679,7,158,163,0,206.77
176,285900,gang beasts,2017-12-12,1,Boneloaf,Double Fine Presents,windows;mac;linux,0,19,13439,5880,681,141,1000000-2000000,14.99,172,gang beasts,1,2018,258750,7568 hours,36118,39,4007,348,10,34.19
177,286160,tabletop simulator,2015-06-05,1,Berserk Games,Berserk Games,windows;mac;linux,0,27,13243,777,729,452,1000000-2000000,14.99,188,tabletop simulator,8,2020,563065,12633 hours,22475,72,2753,757,17,44.57
178,286690,metro 2033,2014-08-27,1,4A Games,Deep Silver,windows;mac;linux,0,49,28179,7313,434,350,2000000-5000000,14.99,141,metro 2033,2,2019,418540,14794 hours,18024,56,3399,623,22,28.29
179,287020,harvester,2014-04-04,1,DigiFX Interactive,Nightdive Studios,windows;linux,0,0,571,54,6,6,50000-100000,4.79,175,harvester,10,2017,193455,386 hours,12953,5,69,260,0,501.18
180,287390,metro last light,2014-08-27,1,4A Games,Deep Silver,windows;mac;linux,0,49,23483,5874,363,328,2000000-5000000,14.99,98,metro last light,2,2019,675396,13918 hours,21205,82,2369,1006,20,48.53
181,287630,the council,2018-03-13,1,Big Bad Wolf,Focus Home Interactive,windows,0,42,1196,218,0,0,50000-100000,25.99,179,the council,3,2018,229122,1956 hours,29687,39,674,308,2,117.14
182,287700,metal gearid v the phantom pain,2015-09-01,1,Konami Digital Entertainment,Konami Digital Entertainment,windows,18,42,38643,4954,3007,2478,1000000-2000000,24.99,187,metal gearid v the phantom pain,10,2017,168733,42262 hours,4864,149,10523,227,56,3.99
183,288880,pineview drive,2014-07-31,1,VIS-Games,United Independent Entertainment GmbH,windows;linux,0,20,281,161,0,0,50000-100000,14.99,150,pineview drive,4,2016,144779,194 hours,17921,5,48,201,0,746.28
184,289070,sid meiers civilization 6,2016-10-20,1,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),windows;mac;linux,0,241,39127,18325,3371,2390,2000000-5000000,49.99,192,sid meiers civilization 6,2,2021,631600,33025 hours,16346,131,3848,941,49,19.12
185,289950,construction simulator 2015,2014-11-18,1,weltenbauer. Software Entwicklung GmbH,astragon Entertainment,windows;mac;linux,0,51,2519,882,315,396,200000-500000,10.99,196,construction simulator 2015,2,2016,99531,698 hours,38169,5,141,143,1,142.59
186,291410,duelyst,2016-08-23,1,Counterplay Games Inc.,BANDAI NAMCO Entertainment America,windows;mac,0,10,3469,794,14620,28847,500000-1000000,0.0,190,duelyst,12,2016,143541,2686 hours,12319,12,79,193,3,53.44
187,291480,warface,2014-07-01,1,My.com,My.com,windows,16,30,32751,14409,949,104,10000000-20000000,0.0,134,warface,10,2019,460906,20656 hours,25277,79,3262,620,27,22.31
188,291550,brawlhalla,2017-10-17,1,Blue Mammoth Games,Ubisoft,windows;mac,0,39,73268,14489,724,146,10000000-20000000,0.0,98,brawlhalla,4,2021,2060394,110718 hours,54268,296,23526,2865,153,18.61
189,291650,pillars of eternity,2015-03-26,1,Obsidian Entertainment,Paradox Interactive,windows;mac;linux,0,48,11558,1835,1710,2177,1000000-2000000,22.99,167,pillars of eternity,5,2018,271962,8662 hours,10680,32,1075,366,11,31.4
190,292030,the witcher 3 wild hunt,2015-05-18,1,CD PROJEKT RED,CD PROJEKT RED,windows,0,78,202930,4798,3068,2002,5000000-10000000,24.99,178,the witcher 3 wild hunt,4,2021,904161,80352 hours,17776,241,8593,1257,111,11.25
191,292730,call of duty infinite warfare,2016-11-03,1,Infinity Ward,Activision,windows,18,88,7821,10570,3609,3890,500000-1000000,39.99,197,call of duty infinite warfare,10,2017,155986,43005 hours,2261,126,10222,209,57,3.63
192,294100,rimworld,2018-10-17,1,Ludeon Studios,Ludeon Studios,windows;mac;linux,0,0,38556,857,5017,2106,1000000-2000000,27.79,186,rimworld,4,2021,856442,36788 hours,8621,97,2682,1191,51,23.28
193,296470,mount your friends,2014-07-29,1,Stegersaurus Software Inc.,Stegersaurus Software Inc.,windows,18,8,6341,329,150,166,500000-1000000,10.99,151,mount your friends,1,2016,235451,1038 hours,39074,15,636,316,1,226.83
194,296710,monstrum,2015-05-20,1,Team Junkfish,Junkfish Limited,windows;mac;linux,0,16,1451,167,418,418,100000-200000,11.99,184,monstrum,11,2016,121150,489 hours,34095,9,177,168,0,247.75
195,298110,far cry 4,2014-12-01,1,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,windows,0,0,17082,4740,1062,977,1000000-2000000,25.99,149,far cry 4,2,2016,154461,20024 hours,4862,64,5271,222,28,7.71
196,298610,ylands,2017-12-06,1,Bohemia Interactive,Bohemia Interactive,windows,0,0,1900,847,457,457,100000-200000,13.0,178,ylands,12,2017,199534,10320 hours,33598,56,1625,268,13,19.33
197,298630,the escapists,2015-02-13,1,Mouldy Toof Studios,Team17 Digital Ltd,windows;mac;linux,0,37,11629,1432,826,590,1000000-2000000,12.99,105,the escapists,3,2017,309843,1338 hours,16334,13,456,417,1,231.57
198,299050,blood ii the chosen,2014-07-14,1,Monolith Productions,Atari,windows,0,0,119,109,0,0,20000-50000,3.99,178,blood ii the chosen,1,2018,249351,53 hours,107359,8,15,335,0,4704.74
199,299740,miscreated,2018-12-18,1,Entrada Interactive LLC,Entrada Interactive LLC,windows,0,29,17255,7903,619,675,500000-1000000,19.49,185,miscreated,9,2020,587617,4063 hours,44700,26,501,817,5,144.63
200,299950,get even,2017-06-20,1,The Farm 51,BANDAI NAMCO Entertainment,windows,0,40,605,156,0,0,20000-50000,24.99,138,get even,6,2017,222109,2939 hours,37566,46,767,308,4,75.57
201,304030,archeage,2015-03-26,1,XLGAMES,Trion Worlds,windows,16,0,3195,3033,2107,1067,1000000-2000000,0.0,120,archeage,11,2019,525674,23754 hours,6975,76,1638,731,33,22.13
202,304050,trove,2015-07-09,1,Trion Worlds,Trion Worlds,windows;mac,0,16,47897,13708,2602,184,5000000-10000000,0.0,199,trove,3,2017,121627,19741 hours,1669,66,2877,163,26,6.16
203,304390,for honor,2017-02-13,1,Ubisoft Montreal;Ubisoft Quebec;Ubisoft Toronto;Blue Byte,Ubisoft,windows,0,0,34790,25920,951,696,2000000-5000000,12.49,180,for honor,12,2020,670253,49644 hours,8576,191,6249,902,66,13.5
204,304430,inside,2016-07-07,1,Playdead,Playdead,windows,0,14,19660,934,297,408,500000-1000000,14.99,46,inside,7,2016,1006447,13111 hours,37950,126,4040,1354,17,76.76
205,304530,agents of mayhem,2017-08-15,1,Deep Silver Volition,Deep Silver,windows,0,49,1808,1264,863,1471,100000-200000,26.99,130,agents of mayhem,8,2017,318873,9767 hours,33811,126,1927,429,13,32.65
206,305620,the long dark,2017-08-01,1,Hinterland Studio Inc.,Hinterland Studio Inc.,windows;mac;linux,0,40,45856,4298,760,227,1000000-2000000,23.79,153,the long dark,10,2020,819071,18424 hours,9789,74,2002,1102,24,44.46
207,306020,bloons td 5,2014-11-19,1,Ninja Kiwi,Ninja Kiwi,windows;mac,0,125,3808,347,1127,1127,200000-500000,6.99,185,bloons td 5,6,2018,281613,1011 hours,14922,9,382,391,1,278.55
208,306130,the elder scrolls online,2017-05-22,1,Zenimax Online Studios,Bethesda Softworks,windows;mac,18,0,33719,11672,10659,3143,1000000-2000000,14.99,96,the elder scrolls online,4,2021,2131362,121315 hours,24078,326,9116,2964,168,17.57
209,306760,obduction,2016-08-24,1,Cyan Inc.,Cyan Inc.,windows;mac,0,15,1807,449,0,0,100000-200000,23.99,148,obduction,8,2016,163507,2390 hours,35424,36,460,220,3,68.41
210,307780,mortal kombat 10,2015-04-13,1,NetherRealm Studios;QLOC,Warner Bros. Interactive Entertainment,windows,18,73,21484,7154,1030,446,1000000-2000000,15.99,165,mortal kombat 10,1,2019,429288,22646 hours,14009,75,7815,577,30,18.96
211,310560,dirt rally,2015-12-07,1,Codemasters Racing Studio;Feral Interactive (Linux);Feral Interactive (Mac),Codemasters;Feral Interactive (Linux);Feral Interactive (Mac),windows;mac;linux,0,170,17632,2496,488,251,1000000-2000000,24.99,187,dirt rally,4,2016,112223,22621 hours,3344,148,4291,156,31,4.96
212,310950,street fighter 5,2016-02-15,1,Capcom,Capcom,windows,0,45,8300,8498,793,1203,500000-1000000,15.99,91,street fighter 5,4,2021,2331060,61996 hours,43406,192,5938,3242,86,37.6
213,311210,call of duty black ops 3,2015-11-05,1,Treyarch;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,18,98,36255,23157,4925,2513,1000000-2000000,44.99,184,call of duty black ops 3,11,2020,639184,127282 hours,9635,437,19735,888,177,5.02
214,311240,zero escape zero time dilemma,2016-06-29,1,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",windows,0,33,1382,128,1448,1448,200000-500000,15.49,101,zero escape zero time dilemma,7,2016,321911,3755 hours,17601,27,401,433,5,85.73
215,311290,spellforce 3,2017-12-07,1,Grimlore Games;THQ Nordic,THQ Nordic,windows,0,39,2024,802,6,6,200000-500000,39.99,168,spellforce 3,12,2017,210799,5932 hours,11538,84,769,283,7,35.54
216,311310,naval action,2016-01-21,1,Game-Labs,Game-Labs,windows,0,0,3117,2029,1536,1536,100000-200000,29.99,187,naval action,2,2016,109813,8383 hours,1184,42,658,158,12,13.1
217,311690,enter the gungeon,2016-04-05,1,Dodge Roll,Devolver Digital,windows;mac;linux,0,54,24947,1573,1625,1060,1000000-2000000,10.99,176,enter the gungeon,6,2019,362266,27601 hours,20743,154,9464,503,38,13.13
218,312660,sniper elite 4,2017-02-13,1,Rebellion,Rebellion,windows,0,85,10885,1910,522,579,500000-1000000,39.99,62,sniper elite 4,2,2017,855764,20330 hours,40373,158,3662,1275,30,42.09
219,312670,strange brigade,2018-08-27,1,Rebellion,Rebellion,windows,0,60,1329,388,490,490,50000-100000,39.99,170,strange brigade,8,2018,279452,4623 hours,27741,115,1067,376,6,60.45
220,313120,stranded deep,2015-01-23,1,Beam Team Games,Beam Team Pty Ltd,windows;mac;linux,0,8,15604,5459,272,246,500000-1000000,10.99,198,stranded deep,4,2020,454174,18584 hours,21820,139,2664,631,25,24.44
221,313160,farming simulator 15,2014-10-30,1,Giants Software,Giants Software,windows;mac,0,16,10219,1066,1902,2660,500000-1000000,15.49,159,farming simulator 15,10,2016,172814,18847 hours,2224,79,2634,232,25,9.17
222,313630,theus project,2016-06-07,1,Hourences;Grip Games,Teotl Studios,windows,0,43,1776,430,175,266,200000-500000,14.99,179,theus project,6,2016,107258,1342 hours,9278,20,325,149,1,79.92
223,313780,conarium,2017-06-06,1,Zoetrope Interactive,Iceberg Interactive,windows;mac;linux,0,26,743,170,0,0,20000-50000,14.99,187,conarium,6,2017,144839,1541 hours,48592,19,441,201,2,93.99
224,314710,mighty no 9,2016-06-23,1,Comcept;Inti Creates,Deep Silver,windows;mac;linux,0,70,1367,1389,28,28,200000-500000,15.99,151,mighty no 9,1,2017,297508,478 hours,176744,15,151,400,0,622.4
225,319510,five nights at freddys,2014-08-19,1,Scott Cawthon,Scott Cawthon,windows,0,0,15784,2179,474,615,500000-1000000,3.99,187,five nights at freddys,9,2020,579190,9694 hours,108389,45,3651,805,13,59.75
226,319630,life is strange,2015-01-29,1,DONTNOD Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),Square Enix;Feral interactive (Mac);Feral Interactive (Linux),windows;mac;linux,16,60,118634,4496,412,145,5000000-10000000,0.0,184,life is strange,1,2018,243724,12539 hours,5239,45,2747,328,16,19.44
227,320240,we happy few,2018-08-10,1,Compulsion Games,Gearbox Publishing,windows,0,50,3130,1333,308,308,100000-200000,44.99,39,we happy few,8,2018,2641602,45634 hours,46964,306,7679,3555,61,57.89
228,322170,geometry dash,2014-12-22,1,RobTop Games,RobTop Games,windows;mac,0,120,52737,2990,5546,1471,1000000-2000000,2.79,138,geometry dash,3,2017,202212,18327 hours,11995,73,2491,272,24,11.03
229,322330,dont starve together,2016-04-21,1,Klei Entertainment,Klei Entertainment,windows;mac;linux,0,0,108601,4206,1070,404,5000000-10000000,10.99,177,dont starve together,3,2021,929084,45418 hours,12039,120,6126,1250,61,20.46
230,322500,superhot,2016-02-25,1,SUPERHOT Team,SUPERHOT Team,windows;mac;linux,0,26,14847,2202,212,203,1000000-2000000,17.99,186,superhot,3,2016,105869,4294 hours,6548,48,2157,142,5,24.66
231,322780,worlds adrift,2017-05-24,1,Bossa Studios,Bossa Studios,windows,0,0,2621,1096,592,592,100000-200000,19.49,191,worlds adrift,6,2018,275518,8847 hours,11704,35,835,383,12,31.14
232,323190,frostpunk,2018-04-24,1,11 bit studios,11 bit studios,windows,16,75,22952,3202,1084,618,1000000-2000000,24.99,117,frostpunk,1,2020,731512,14042 hours,25489,103,2638,984,18,52.09
233,323850,move or die,2016-01-21,1,Those Awesome Guys,Those Awesome Guys,windows;mac;linux,0,66,8633,1245,299,174,500000-1000000,10.99,166,move or die,1,2016,202884,1275 hours,32211,12,319,273,1,159.12
234,324800,shadow warrior 2,2016-10-13,1,Flying Wild Hog,Devolver Digital,windows,0,64,10152,1406,993,1655,200000-500000,34.99,55,shadow warrior 2,10,2016,768859,14698 hours,28683,197,3011,1034,19,52.31
235,326460,shellshock live,2015-03-11,1,kChamp Games,kChamp Games,windows;mac;linux,0,58,11426,1264,1218,1048,1000000-2000000,4.99,180,shellshock live,4,2016,120179,3445 hours,19489,24,827,167,4,34.89
236,327030,worms wmd,2016-08-23,1,Team17 Digital Ltd,Team17 Digital Ltd,windows;mac;linux,0,29,2132,528,424,574,200000-500000,19.99,160,worms wmd,4,2021,1074894,3011 hours,62831,22,878,1494,4,356.99
237,329070,spyparty,2018-04-12,1,Chris Hecker;John Cimino,Chris Hecker,windows,0,0,366,67,0,0,20000-50000,19.49,51,spyparty,4,2018,1354573,5478 hours,79292,45,1350,1883,7,247.28
238,330830,tales from the borderlands,2014-11-25,1,Telltale Games,Telltale Games,windows;mac,18,35,14338,697,524,518,1000000-2000000,11.99,110,tales from the borderlands,2,2016,232835,3140 hours,13971,18,792,335,4,74.15
